图像名称,图像概念,图像叙事,类别,距离,图像情感类别,检查,概念
115347.jpg,复查；食物,"学校还有严格的复查制度,绝对不允许外面的3流食物进学校,关爱他人",9,1,0,,
115349.jpg,热水器,家电 热水器,15,1,0,1.0,
115351.jpg,厨师,整装列队助力学子们的厨师梦想专业老师匠心教学今天一起来揭秘内幕,7,1,0,,
115353.jpg,特雷纳,旅友拍摄于特雷纳,10,1,0,,
115355.jpg,电蒸锅,电蒸锅家年多功能大格量调,15,1,0,1.0,
115356.jpg,暖冬天气；北半球,今年北半球普遍的暖冬天气,10,1,0,,
115357.jpg,战争,"荀林父大失所望,看来战争是避免不了了.",12,1,0,,
115358.jpg,红疙瘩；宝宝,四个月宝宝背上起红疙瘩,8,1,0,,
115359.jpg,柠檬水；橙汁,推荐多喝橙汁和柠檬水,7,1,0,,
115364.jpg,木地板,木地板翻新木地板作为地面铺设中最常用的材料之一,15,1,0,1.0,
115365.jpg,宇宙；撞击,我们的宇宙不断地撞击邻近的宇宙这个理论对全宇宙理论采取了不同的,6,1,0,1.0,
115366.jpg,艺术家；老娘舅,"老一辈艺术家屠耀麟去世,曾执导《老娘舅》_喜剧片",14,1,0,,
115368.jpg,鱼庄,大丰收鱼庄,7,1,0,,
115370.jpg,十招画室,十招画室:画竹百技 楼小农 上海人民美术出版社,9,1,0,,
115372.jpg,验证码,然后手机会收到腾讯给予的一个验证码,6,1,0,,
115373.jpg,旗袍；套装,旗袍上衣女夏改良时尚短袖中式修身唐装棉麻茶服套装,11,1,0,,
115374.jpg,收盘；总结,波段性低点和标志性事件2021年8月24日收盘总结,2,1,0,,
115375.jpg,学霸；保研,"学霸情侣 | 双双保研哈工大,前方高甜请慎入",9,1,0,,
115380.jpg,车型；价格区间,这个价格区间里确实可以选择大把的车型,6,1,0,1.0,
115381.jpg,甲醛；处理,松北区甲醛怎么处理具体收费,8,1,0,,
115382.jpg,收票；开票,"【票据报价简析】承兑开票不断攀高,贴现收票有所收减",2,1,0,1.0,
115384.jpg,金毛,原来金毛可以这么皮,10,1,0,,
115386.jpg,三房；装修,15万86平米美式三房装修效果图,15,1,0,1.0,
115387.jpg,虾；泰国,泰国正大免解冻对虾,7,1,0,,
115389.jpg,宋朝；大学生,论如何做一名宋朝大学生,14,1,0,,
115391.jpg,所得税,企业所得税,2,1,0,1.0,
115393.jpg,动物；灵长目,动物 灵长目,10,1,0,,
115394.jpg,卫星；中国,中国会不知道吗?中国的卫星难道不会知道吗?,1,1,0,1.0,
115399.jpg,疫苗；学生,前来接种疫苗的学生和家长正在排队进入学校,8,1,0,,
115400.jpg,外立面；咖啡厅,给咖啡厅做个外立面 希望大家多多指教,7,1,0,1.0,
115404.jpg,差旅费；机关工作人员,出差吃住行标准有调整!杭州机关工作人员差旅费这样,2,1,0,,
115405.jpg,凉意,虽然早晚已经有了些许凉意这进入末伏之后,10,1,0,,
115408.jpg,红枣糕,天使不打烊888做的红糖葡萄干红枣糕,7,1,0,,
115409.jpg,立项报告；代写,四川代写可研报告公司做立项报告,6,1,0,1.0,
115410.jpg,蜜雪冰城；加盟,如果大家想要加盟蜜雪冰城那会很不错,7,1,0,,
115413.jpg,机器人；自动清洗,光伏板上的自动清洗机器人,6,1,0,,
115414.jpg,博物馆；物品,"博物馆内每一件物品,都带着老板东一专属的印迹.",14,1,0,1.0,
115415.jpg,虚构世界,走进leandro erlich的虚构世界,15,1,0,1.0,
115419.jpg,教师队伍建设,新时代广东职业院校教师队伍建设对策研究,9,2,6,1.0,
115422.jpg,捷克语志愿者,"经过多方协调与精心安排,我校派出两批捷克语志愿者分别为三场相关活动提供了服务",9,1,0,,
115424.jpg,交通枢纽；高铁西站,"长沙高铁西站是湖南省,长沙市的重要交通枢纽,距长沙火车站20公里",5,1,0,1.0,
115425.jpg,贫穷；新世界,"贫穷限制了我的想象,但会员打开了我的新世界",2,1,0,,
115427.jpg,杨柳小蛮腰；腰部审美,"白居易一句""杨柳小蛮腰""说尽了古今男性对女性腰部审美",8,1,0,,
115429.jpg,规划引导；政策支持,"下一步,我部将会同有关部门继续通过规划引导,政策支持,创新激励等",6,1,0,1.0,
115431.jpg,医院；进食训练,"广中医深圳医院有妙招,穿脱衣,进食训练",8,1,0,,
115437.jpg,陈醋,5度老陈醋六年纯粮酿造零添加炒菜凉拌送礼陈醋,7,1,0,,
115439.jpg,贡山隧道；开挖突破5,大瑞铁路高黎贡山隧道1号竖井副井开挖突破500米刷新,5,1,0,1.0,
115440.jpg,梧桐树叶,"随风飘荡下来的梧桐树叶飞入草丛,飞入地上,化为泥土",10,1,0,,
115441.jpg,巴塞罗那；巨星,"巴塞罗那史上10大巨星,哈维第3小白无缘,第1无可争议",3,1,0,,
115442.jpg,虚拟墓地；献花,网友们也都在虚拟墓地前献花点蜡烛,5,1,0,,
115443.jpg,儿童；癫痫,儿童癫痫停药多长时间为好,8,1,0,,
115444.jpg,米黄玉；保健球,厂家直销米黄玉健身球玉石手球批发 老人保健球预防老年痴呆必备,8,1,0,,
115447.jpg,疤痕疙瘩；手术割掉,"打耳洞长的疤痕疙瘩,现在越长越大",8,1,0,,
115449.jpg,女篮；实力排行,"领导层或许对女篮有更高的期盼,根据国际篮联网站发布的女篮实力排行",3,3,6,,
115451.jpg,运动,随手拍一夏##运动就是坚持##瑜伽,3,3,0,,
115456.jpg,闰土；猹,闰土和猹是什么梗来世报恩成了张杰的粉丝,14,1,0,,
115457.jpg,灌浆；混凝土,uea/硅灰石粉对水泥基灌浆料性能的影响.混凝土.,0,1,0,1.0,
115459.jpg,十大科学传播事件,"中国科协发布2019年度""十大科学传播事件""",9,1,0,,
115462.jpg,知识；分享,"知识在于分享,在交流中不断充电!",9,1,0,,
115465.jpg,花菜,抄花菜,7,1,0,,
115466.jpg,证券,复星恒利证券pb账户被骗亏损怎么办无法出金内幕曝光,2,1,0,,
115467.jpg,菜肴；喝酒,"而过年丰盛的菜肴和喝酒是必不可少的,所以不得不在春节前提醒大家",7,1,0,,
115475.jpg,扳手腕,"细品,终究是""大哥您不配了""啊.""他可能扳手腕扳不过你.",3,1,6,,
115476.jpg,天蓝；水清,"天蓝,水清,山绿,既有北方的雄浑和粗犷,又有南方的细腻与柔美.",10,1,0,,
115477.jpg,圣马可广场；喂鸽子,"当地政府也不欢迎在圣马可广场上凑热闹,喂鸽子,把广场弄得一团糟",5,1,0,,
115479.jpg,建兰,刚下山龙根建兰,10,1,0,,
115481.jpg,骑行；青海湖,青海湖专业骑车骑行藏式手绘唐卡藏香包制作体验,3,3,0,,
115484.jpg,博物馆；防空洞,防空洞内建博物馆,14,1,0,1.0,
115488.jpg,新校；福州,"今年8月底福州3所新校正式投用,新增学位约3630个!",9,3,0,,
115489.jpg,治疗；电话回访,"并在完成治疗离院的几天后,进行电话回访",8,1,0,,
115491.jpg,广告,用一支非广告的广告打动人心小罐茶带来1小时神片,15,1,0,1.0,
115492.jpg,大鹏半岛,"告诉大家,大鹏半岛大亚湾这片大海就是电影《美人鱼》的拍摄地之一哦",5,1,0,1.0,
115493.jpg,不必较真,不必较真,0,1,0,1.0,
115494.jpg,iphone；哀鸿遍野,被人提前创建多日创建并运营的iphone 7s贴吧正在哀鸿遍野.,6,1,0,,
115497.jpg,狗形；蛇虫之形,"带着明显的狗形,还带有蛇虫之形,""蜀""是也!""蜚""是也!",14,1,0,,
115499.jpg,勾花丝网；菱形网,勾花丝网厂家直销勾花网 菱形网 铁丝网保质保量家用勾花护栏网,0,1,0,1.0,
115500.jpg,春节花艺,春节花艺|春暖花香贺新年,5,1,0,,
115501.jpg,汽车；数字化转型服务,"作为汽车行业推出的,首个为全行业提供数字化转型服务的工业互联网",6,1,0,,
115502.jpg,大公司；创新情报,大公司创新情报,6,1,0,1.0,
115503.jpg,以身许国；忠贞不二,"同时也表达自己以身许国,忠贞不二的思想.",14,1,0,1.0,
115504.jpg,巡航；海训练编队,"在巡航过程中,远海训练编队带动守礁部队进行实战条件下的攻防演练",12,3,0,,
115505.jpg,文明礼貌；尊老爱幼,"由于家庭中的文明礼貌和尊老爱幼等优良传统教育,非常缺失,故而造成",5,1,0,,
115506.jpg,曹操；御驾亲征,为什么曹操很多次打仗都御驾亲征,14,2,0,,
115508.jpg,内增高；休闲鞋,爱米高内增高休闲鞋,11,1,0,1.0,
115509.jpg,汉堡；大胃王,"大爷一次做30个汉堡,本以为又是一个大胃王,知道原因很喜心酸",7,1,0,,
115510.jpg,管理员,数据库管理员,6,1,0,,
115512.jpg,牧马人；进口车,天津港2019款jeep牧马人进口车让利促销,6,1,0,,
115513.jpg,青花釉；大盖罐,元代青花釉里红鬼谷子下山兽头大盖罐,14,1,0,,
115514.jpg,python；软件,"它优点是自由软件.周末学习,下载python新版本3.96 .",6,1,0,,
115515.jpg,统计；资金净流入,此表为主力资金净流入统计,2,1,0,1.0,
115518.jpg,白居易；玩迎春花赠杨郎中,"【唐】白居易《玩迎春花赠杨郎中》凭君语向游人道,莫作蔓菁花眼",14,1,0,,
115520.jpg,养老行业；十四五,"十四五规划下,养老行业的三大驱动因素",1,1,0,1.0,
115523.jpg,孕7周,心疼就是爱 孕7周lv.,8,1,0,,
115524.jpg,中国贸促会；开幕式,中国贸促会建设行业分会会长李政在开幕式上致辞,2,3,0,1.0,
115529.jpg,历史；中国；爱国主义教育,"对其讲述一些有关中国的历史故事,达到爱国主义教育的",9,1,0,,
115530.jpg,长城；新车,"长城年内推8款新车,全新f7领衔,这款suv比本田cr-v还省油",6,1,0,,
115531.jpg,保险；支付宝；理赔,支付宝上买保险理赔难吗支付宝买什么保险好看这篇文章就够了,2,1,0,1.0,
115533.jpg,诸葛亮；王朗,诸葛亮骂死王朗的三个不可能:高估了曹真王朗和诸葛亮,14,3,0,,
115535.jpg,泡姜；泡椒,泡姜和泡椒切成细末,7,1,0,,
115536.jpg,古镇；夏天,这20个古镇在夏天去静静的呆几天,10,3,0,,
115537.jpg,龙江；年会,龙江这个年会不一样,5,1,6,1.0,
115538.jpg,箱盖；打开,"需要打开后备箱时,只需用脚在尾箱下方轻轻一踢,箱盖即可自动",6,1,0,,
115539.jpg,澜庭叙；北欧风格,澜庭叙120平北欧风格效果图案例赏析,15,1,0,1.0,
115540.jpg,大海；小鱼小虾,"若干年后,大海里也许连小鱼小虾也会没有了吧?",5,1,0,,
115541.jpg,秦楚之战,"老想着秦楚之战,缘何会是白起胜而郢都破?",14,1,0,,
115543.jpg,建筑；手绘草图,如何画好建筑手绘草图,9,1,0,,
115544.jpg,轮子；橡胶,10x2英寸实心橡胶轮子配铝轮辐,0,1,0,1.0,
115546.jpg,卷尺量,卷尺量三围皮尺迷你小量衣尺软尺腰围1,15,1,0,1.0,
115547.jpg,超市美酒；礼盒,史上最大规模800多个品牌齐聚京东超市美酒节经典新品和礼盒成主打,7,1,0,,
115548.jpg,冶金；局党组成员,"会上,局党组成员,副局长张敏,华文明分别动员部署冶金等工贸",1,1,0,1.0,
115549.jpg,加密货币；美国,"paypal加密货币交易跨出美国,进军英国市场",2,1,0,,
115551.jpg,艺术家；绘画艺术,中国艺术家的理解与再造将中国文化意蕴融入绘画艺术,14,1,0,,
115552.jpg,锡安-威廉姆斯；篮球运动员；减重,"时隔1个月时间,锡安-威廉姆斯减重了8斤,肌肉已不输詹姆斯?",3,3,0,,
115553.jpg,刷脸支付；易捷便利店,中国石化易捷便利店启动刷脸支付,6,1,0,,
115554.jpg,摄影师,要不要做个摄影师,14,1,0,1.0,
115556.jpg,重型；减速器,重型|高速|非标|硬齿面|密炼机减速机硬齿面减速器,6,1,0,1.0,
115559.jpg,菜刀；不锈钢,广家菜刀切肉切片锋利不锈钢手工锻打菜刀,15,1,0,1.0,
115560.jpg,恒大；严鼎皓；足球运动员,恒大多点开花   恒大多点开花   恒大多点开花   严鼎皓破门,3,1,6,,
115570.jpg,昆明志航；昆明重工,昆明志航和昆明重工中学附小小球员握手致意,3,3,0,,
115571.jpg,洪水；疫情,"八月上旬洪水刚刚退去,疫情又一次的卷土重来",5,1,0,,
115572.jpg,贸试验区建设；资工作,"聚焦自贸试验区建设,舟山招商引资工作扎实推进",10,3,0,1.0,
115573.jpg,公路通行费；电子普通发票,收费公路通行费:电子普通发票成增值税扣税凭证,2,1,0,1.0,
115580.jpg,试纸；试剂,"我第一次3个月时买了一个试纸和试剂,试纸是一深一浅红杠,试剂是浅",8,1,0,,
115581.jpg,购房合同,购房合同之五证二书详解,13,1,0,1.0,
115583.jpg,丹霞,我不是丹霞,10,3,0,,
115584.jpg,狗界；平衡术,狗界的平衡术大师,10,1,0,,
115585.jpg,不婚现象；离婚率,中国当代不婚现象白皮书-不婚面面观|离婚率|婚姻,5,1,0,,
115586.jpg,赵氏；负责人,赵氏家族宗亲全国各地会长负责人名单,14,1,0,1.0,
115588.jpg,职场新人；办公利器,职场新人需备的办公利器,15,1,0,1.0,
115590.jpg,多边贸易体制；保护主义,"现行多边贸易体制并不完美,但保护主义更不可取",2,1,0,,
115591.jpg,扒皮鱼,川香扒皮鱼 豪吉川香汁的做法,7,1,0,,
115592.jpg,盔头戏；戏曲,盔头戏帽子京剧豫剧戏曲越剧头饰老旦凤国太帽老旦盔潮剧点稠婺剧,14,1,0,1.0,
115594.jpg,清洗；玻璃罐,"紧接着就是清洗玻璃罐了,要洗干净,之后晾干,天气好的话可以在太阳",7,1,0,1.0,
115596.jpg,援外；抗疫,中国援外抗疫物资上都写了什么,5,1,0,,
115599.jpg,国人；欧盟国,国人最爱去的欧盟国竟然是他,10,1,0,,
115600.jpg,垭口门套；嫌弃,垭口门套难看费钱惨遭嫌弃?包不包垭口门套预算说话,15,1,0,1.0,
115601.jpg,秋老虎；昼夜温差,"秋老虎上线,南部分地区热如大暑北方昼夜温差拉大秋意渐浓",10,1,0,,
115603.jpg,简笔画,简笔画 手绘 线稿,14,1,0,1.0,
115606.jpg,危险预知训练；企业安全,企业安全之《危险预知训练》,15,1,0,1.0,
115608.jpg,军人；正义而战,"军人敢为正义而战,军人愿为民族献身!",12,3,0,,
115609.jpg,手绘；鸟儿,手绘鸟儿停留树枝简笔画,14,1,0,1.0,
115610.jpg,四军队；编制, 四军队编制:清军绿营,12,1,0,,
115612.jpg,旅客；高速,"返乡旅客:高速路上遇内急,这种做法要不得",5,1,0,,
115617.jpg,进攻；换下,这次进攻后因伤被换下,3,1,0,,
115620.jpg,清华院；水绒花,"清华院国家植物博物馆""水绒花""方案公布",14,3,0,,
115621.jpg,彩色多普勒；检查,彩色多普勒心脏超声检查特征:三尖瓣口收缩期减少量蓝,8,1,0,,
115623.jpg,早餐；清汤面,"一堂一楼太阳饼,早餐必备佳品 一堂二楼清汤面,家的味道 二堂一楼",7,1,0,,
115625.jpg,奥运新规；中国夺冠,od体育推荐被质疑防中国夺冠奥运新规惹争议,3,1,0,,
115629.jpg,简单好看；石膏线,"随着时代的改变,人们都要求东西简单好看,所以用石膏线来装饰就比较",15,1,0,1.0,
115630.jpg,伏法认罪；被告人,"三位被告人伏法认罪,对自己的行为追悔莫及.",13,3,0,,
115632.jpg,开展座谈；工业园区规划,"其后,各方一起开展座谈,进一步探讨更多有关工业园区规划前景问题.",5,1,0,1.0,
115634.jpg,艺术微喷装饰画,芬克诺尔 艺术微喷装饰画【薰衣草花园】大师,14,1,0,,
115640.jpg,一等奖作品；改革开放40年,"一等奖作品欣赏|2018""改革开放40年·描绘徐州大发展""",14,1,0,1.0,
115642.jpg,色达；旅游,"【旅游线路】心灵洗涤,震撼神圣——色达4日游",10,3,0,,
115645.jpg,立柱盆陶瓷；洗手盆,三孔立柱盆陶瓷立柱式洗脸盆厕所洗手盆一体式卫生间阳台落地台盆安心,15,1,0,1.0,
115646.jpg,进气格栅,风尚版进气格栅,6,1,0,1.0,
115650.jpg,素描静物；刻画解析,素描静物中常见物体的刻画解析,14,1,0,,
115652.jpg,美伊关系,"随着美伊关系的恶化,双方之间的战争也成为一个热门的话题",1,1,0,1.0,
115655.jpg,冷链设施；租赁业务,"不断地将大额资金投入到研发冷库等冷链设施,但是集装箱冷链租赁业务",0,1,0,1.0,
115657.jpg,服兵役；小五,小五因服兵役退出,12,1,6,,
115658.jpg,精；气；神；五脏,"由于精,气,神是人体生命活动的根本,所以五脏在人体生命中起着重要",8,1,0,,
115661.jpg,清华；徐轲娟；湖南女孩,湖南女孩徐轲娟681分考上清华录取结果公布父亲表示意料之中,9,1,0,,
115664.jpg,西游记；坐骑,在西游记中有个大神的坐骑两次下凡为妖但实力却相差悬殊,14,1,0,,
115667.jpg,耳钉；糖果色,糖果色耳钉 百搭耳环 新款小清新 厂家批发,11,1,0,,
115669.jpg,实验舱；空间站对接,俄成功发射科学号实验舱8天后将与国际空间站对接,6,1,0,,
115671.jpg,建筑；装饰材料,建筑和装饰材料 建筑用管 钢管 03 衬塑钢管,0,1,0,1.0,
115683.jpg,彩妆；美妆,彩妆 美妆工具,11,1,0,,
115684.jpg,中国出口；回落,今年下半年中国出口会伴随着美国居民对于商品消费的回落而,2,1,0,,
115686.jpg,留守贫困儿童；开学第一课,为留守贫困儿童迎来开学第一课,9,1,0,,
115687.jpg,金牌；祖国,"杨倩激动不已:""金牌是送给祖国的最好礼物",3,1,0,,
115688.jpg,公交路线图；周口,周口最新公交路线图,5,1,0,1.0,
115690.jpg,富士康；大学生,深圳喊话大学生加入富士康,9,3,0,,
115691.jpg,运河；钱塘江,"当运河与钱塘江交汇,将发生什么?",5,1,0,1.0,
115693.jpg,座椅；硬,"座椅稍微硬一些,前排的包裹性不错.",6,1,0,,
115694.jpg,素食豆；油栗莲子,栗当家素食豆有油栗莲子休闲零食即食熟制软糯香甜,7,1,0,,
115695.jpg,学术能力；美国家长,"有一类学术能力是美国家长非常看重,而且要从小坚持培养的——阅读",9,1,0,,
115696.jpg,尚湖镇；规划,"但尚湖镇有个重磅规划吸引着众人,那就是西站(规划中).",5,1,0,,
115700.jpg,开通条件；抖音招商,抖音招商团长开通条件和流程详解,2,1,0,1.0,
115702.jpg,通行能力；车辆拥堵,"通行能力不足,容易造成车辆拥堵.",5,1,0,,
115703.jpg,婴儿米粉,"不吃婴儿米粉,吃粥,面条或自制米粉,营养不足.",7,1,0,,
115705.jpg,小林老师；漫画；高考作文,"漫画被高考作文""翻牌""的小林老师教师节再创作!称老师是段子手",9,1,0,,
115711.jpg,阿里云；泄露信息,"阿里云擅自泄露用户信息被责令整改#阿里云回应""用户注册信息泄露""",6,1,0,,
115712.jpg,国裕集团；大事记,国裕集团第四季度大事记盘点,2,3,0,1.0,
115713.jpg,厦门鼓浪屿；杂货铺,"去过厦门鼓浪屿的读者或许会知道,那边有许多咖啡店和杂货铺都可以写",14,1,0,,
115714.jpg,四风；专项整治,"我院召开关于集中开展纠正""四风""专项整治工作会议",1,3,0,1.0,
115720.jpg,党员志愿者,井头街道党员志愿者闻汛而动,5,1,0,1.0,
115722.jpg,模板；时尚金黄色,时尚金黄色细小纹路边框金融投资理财教育x展架背景psd模板,0,1,0,1.0,
115723.jpg,顶级球星；莫布里,"再者拥有成为波什潜力的莫布里等等,他们都被看作是目前联盟顶级球星",3,1,0,,
115724.jpg,黄牛肉,"延边黄牛肉,吃过一次就忍不住为它疯狂打",7,1,0,,
115726.jpg,地铁1号线；票卡,"上为合肥地铁1号线单程票卡,下为合肥地铁1号线储值卡.",15,1,0,1.0,
115729.jpg,绿灯；掉头,"叶舞路口自北向南允许直行和左转掉头,千万不要等绿灯没亮就掉头.",5,1,0,,
115737.jpg,白底照片；制作,"寻求高手将下面的照片,制作成一张""1寸的白底照片"".谢谢了!",15,1,6,1.0,
115739.jpg,长荣股份；关注函,长荣股份监管关注函,2,1,0,1.0,
115740.jpg,天水旧楼；安装电梯,天水旧楼安装电梯需要满足哪几点,5,1,0,,
115741.jpg,日照；莒国古城,山东日照莒国古城等您来,14,1,0,,
115742.jpg,优秀作品；投票,"下面是第四批优秀作品展示,别忘了给您喜欢的作品投票!",9,1,0,1.0,
115743.jpg,舞种,个人向非专业舞种科普,14,1,0,,
115745.jpg,输尿管,输尿管导管,8,1,0,,
115749.jpg,全民战疫；丹阳市,全民战疫|2020丹阳市抗击疫情大型纪实摄影图片展,5,1,0,,
115750.jpg,录取通知书；申请签证,"录取通知书到手之后要立即申请签证,办理留学签证要准备好自己的护照",9,1,0,,
115751.jpg,年夜饭；四川人民,四川省 广元 为了证明四川人民的年夜饭不是一盆一盆的辣椒或者红油,7,1,0,,
115752.jpg,公路车；无锡,"出14款骚橙色闪电allez comp公路车,无锡本地面交",15,1,0,1.0,
115753.jpg,商标；全红婵；陈梦,没想到陈梦全红婵之外伊藤美诚也早已被抢注商标了,2,1,0,1.0,
115754.jpg,排泄；尿意,"有利于排泄有时很大多数人忙于工作,所以感到有尿意的时候经常会憋着",8,1,0,,
115757.jpg,顶级偶像；坠落,"答案是四个小时.2021年,一位顶级偶像的坠落速度有多快?",5,1,0,,
115760.jpg,月亮,赋最美的月亮送给你,10,1,0,,
115761.jpg,德比郡,德比郡,10,3,0,,
115762.jpg,童年；一间小士多,"一间小士多!藏着8090广州人的回忆,连童年都有得卖!",14,1,0,,
115763.jpg,纹身器材,中艺纹身器材纹身书籍新品发售正品破万卷纹身手稿后背手臂纹身图,11,1,0,1.0,
115765.jpg,末伏暑,末伏暑热消失了?长江中下游地区现少见清凉_武汉,10,1,0,,
115768.jpg,被子,被 被子 床上用品 枕头,15,1,0,1.0,
115769.jpg,健康；生态城市,生态城市伯克利:为一个健康的未来建设城市,5,1,0,1.0,
115770.jpg,胸锁乳突肌,"胸锁乳突肌,斜位于颈部两侧皮下,大部分为颈阔肌所覆盖",8,1,0,,
115771.jpg,世界名画；国宝,"《最后的晚餐》 画了一些世界名画后,阿龙觉得更应该让国宝与中国",14,1,0,,
115773.jpg,世界杯；中国男篮,"如果他参加了世界杯,也许中国男篮就不用参加不成功的奥运会了.",3,3,0,,
115778.jpg,阳台；种花,"千万别在阳台上种花了,你会后悔的!",15,1,0,1.0,
115779.jpg,乡村教师；收入,有着35年教龄的乡村教师年收入是多少足以让大部分人羡慕,9,1,0,,
115780.jpg,萨摩耶；换毛期,"主人为了顺利度过萨摩耶的换毛期,就给狗狗换了一个新造型.",10,1,0,,
115782.jpg,武器；盗窃,这些露天摆放的武器就成为了更大规模的盗窃的目标,12,3,0,,
115786.jpg,孔子故乡；中国山东,"青岛风光-""孔子故乡 中国山东""国际网络摄影大赛官方",14,3,0,,
115788.jpg,日本女孩；超短体操裤,"聊聊日本女孩的超短体操裤,为什么会这么短?",14,3,0,,
115789.jpg,大众凌渡,18款大众凌渡多少钱,15,1,0,1.0,
115790.jpg,杨门女将,"原创杨门女将的故事流传千年,只有一个人是真的,名字还被叫错",14,1,0,,
115791.jpg,帕萨特；上市,大众全新一代帕萨特10月31日上市,6,1,0,,
115794.jpg,赛季；辽宁球迷,"丛明晨可谓连续几个赛季让辽宁球迷们失望,杨鸣对他也是心灰意冷.",3,1,0,,
115795.jpg,线条；米数,"线条整件起卖,具体米数可以看我们详情介绍或者联",0,1,0,1.0,
115796.jpg,水产；养殖区,"以鱼为主的水产深加工,在各湖区或养殖区已经有几十年的历史",7,1,0,,
115797.jpg,富士山；色彩,不同的季节富士山的色彩也不同呢,14,1,0,,
115800.jpg,福克斯；底盘,"这车比福克斯贵一倍,用的却是福克斯底盘",6,1,0,,
115804.jpg,投资创业；时间,投资创业为何要与时间做朋友这本价值讲得很明白值得一读,2,1,0,,
115805.jpg,海保人寿；养老年金,海保人寿颐养康健养老年金收益如何,8,1,0,,
115806.jpg,菜市场；和平区,和平区宜昌道菜市场,5,1,0,1.0,
115810.jpg,印度人民党；被杀害,印度人民党声称至少有六名该党工作人员被杀害,5,1,0,,
115811.jpg,渐变；ps,这样模糊的渐变是怎么用ps做的,6,1,0,,
115815.jpg,挂证；药师门诊,"别再执念""挂证""了,药师门诊都能收费了",8,1,0,,
115817.jpg,石油蒸气；起火现象,是石油蒸气在湖泊池沼水面上起火现象的描述,5,3,0,,
115818.jpg,市场融资；回暖,一级市场融资的回暖显示出投资者对河南的信心逐步恢复,2,1,0,,
115819.jpg,绿雕建筑,春节主题造型绿雕建筑,10,1,0,1.0,
115820.jpg,鲜花；迎国庆,全国各地花团锦簇迎国庆,10,1,0,,
115821.jpg,派可；汽车；财务分析,派可数据汽车4s集团财务分析部分案例,2,1,0,,
115822.jpg,血脂；药康付,血脂降不下去和你吃什么关系不大药康付如何有效降血脂,8,1,0,,
115824.jpg,翘脚,"这位正妹整天翘脚坐,后果吓坏网友!发誓再也不敢翘脚了?",8,1,0,,
115826.jpg,锂电池；解析,锂电池技术全解析,6,1,0,,
115827.jpg,中越战争；撤离,"中越战争,我军为何突然撤离",12,1,0,,
115828.jpg,疫情防控；经济社会发展,"在此基础上,我们统筹推进疫情防控和经济社会发展工作,抓紧恢复生产",5,1,0,1.0,
115830.jpg,环境浩劫；垃圾；海洋,"塑胶垃圾流入海洋,生物吃下肚的结果,造成环境浩劫.",10,3,0,,
115832.jpg,婚姻；经营,"婚姻是两个人的事儿,如果 要更好的经营自己的婚姻,需要双方的共同",5,1,0,,
115834.jpg,肉丝；蔬菜,"肉丝加淀粉过油,油温五成热,肉丝炸至中途加入蔬菜配料炸一下",7,1,0,,
115835.jpg,舞蹈调研会,广东省舞协召开粤港澳大湾区 舞蹈调研会,14,1,0,1.0,
115838.jpg,展期；一个月,展期为期一个月,14,3,0,,
115839.jpg,伴娘；份子钱,伴娘应该出份子钱么,5,1,0,,
115840.jpg,五脏；降火,"1心火佳佳在这里,就针对五脏来为大家推荐几种降火食物因此",8,1,0,,
115842.jpg,贫困户；登记办证,"创新办理贫困户搬迁登记办证"":龙岩市不动产登记中心全面完成符合",1,1,0,1.0,
115844.jpg,变速箱,抬变速箱作业,6,1,0,1.0,
115845.jpg,合家欢腊肠,皇上皇合家欢腊肠,7,1,0,,
115847.jpg,海军；航母,海军 航母 舰 军事 641_413,12,3,0,,
115848.jpg,秦始皇；长城,秦始皇修建长城到底死了多少人你怎么看,14,1,0,,
115853.jpg,体育；篮球,篮球比赛,3,3,0,,
115855.jpg,女排；中超；意甲,美国女排的很多队员都在中超和意甲联赛效力,3,1,0,,
115856.jpg,东风日产；智能与新能源,"东风日产将全面谋篇布局,抢占智能与新能源领域的制高点.",6,3,0,1.0,
115862.jpg,清廷,当时这两人建立这两个国家之后便想要归顺清廷,14,1,0,,
115863.jpg,新媒体运营；转行,为什么大家都愿意转行做新媒体运营,6,1,0,,
115864.jpg,带状疱疹；疫苗,带状疱疹也有疫苗了,8,1,0,,
115866.jpg,冰壶；运动,冰壶 - 冰上运动项目,3,1,0,,
115867.jpg,化妆品；言束,言束化妆品真的好用吗,11,1,0,,
115871.jpg,红釉；工艺,"红釉醇厚,发色美不胜收.内壁红釉流淌乃当时工艺特色体现.",14,1,0,,
115872.jpg,胃肠道黏膜；肠胃疾病,胃肠道黏膜同时损伤变差老化是引发肠胃疾病的导火索,8,1,0,,
115873.jpg,人工哺乳,人工哺乳的方法,8,1,0,,
115875.jpg,产复康颗粒,三顺制药 产复康颗粒,8,1,0,,
115877.jpg,戴头盔；新规,"刚习惯戴头盔,又一电动车新规降临,还让不让人骑车了",5,1,0,,
115878.jpg,冠军；诗文朗诵,我校学子斩获全国诗文朗诵西安赛区冠军,9,1,0,,
115879.jpg,雾灯；老捷达,老捷达雾灯怎么开图解,6,1,0,1.0,
115881.jpg,老师；家长,老师真敢要家长真敢给,9,1,0,,
115882.jpg,电子产品；虚拟世界；现实互动,"当下人们沉浸于电子产品,社交网络构建的虚拟世界而忽略了现实互动",5,1,0,,
115883.jpg,皇帝所赐；明代藩王,"可见以明代藩王所藏,据说是明初分封为皇帝所赐的,尚且不能没有补配",14,1,0,,
